name
s45_221207_Granta519EBF1KI_cl27_0hr_EBF1_CHIPseq_rep1_S9
s46_221207_Granta519EBF1KI_cl27_0hr_EBF1_CHIPseq_rep2_S10
s47_221207_Granta519EBF1KI_cl27_6hr_EBF1_CHIPseq_rep1_S11
s48_221207_Granta519EBF1KI_cl27_6hr_EBF1_CHIPseq_rep2_S12
s49_221207_Granta519EBF1KI_cl27_8hr_EBF1_CHIPseq_rep1_S13
s50_221207_Granta519EBF1KI_cl27_8hr_EBF1_CHIPseq_rep2_S14
s51_221207_Granta519EBF1KI_cl27_24hr_EBF1_CHIPseq_rep1_S15
s52_221207_Granta519EBF1KI_cl27_24hr_EBF1_CHIPseq_rep2_S16
